document,question
01-agentic-rag/lessons/01-intro.md,"What is a retrieval-augmented generation system, and why does it help with LLM limits?"
01-agentic-rag/lessons/01-intro.md,Why do you treat the model like a black box instead of looking inside it?
01-agentic-rag/lessons/01-intro.md,What kinds of problems do LLMs have that RAG is meant to fix?
01-agentic-rag/lessons/01-intro.md,What is the FAQ agent in this module supposed to do?
01-agentic-rag/lessons/01-intro.md,What will the first part of the module build before the agentic version?
01-agentic-rag/lessons/02-environment.md,"What do I need installed before I can start this module, and is Jupyter enough for it?"
01-agentic-rag/lessons/02-environment.md,How do I set up a brand-new project for the course from an empty folder using uv?
01-agentic-rag/lessons/02-environment.md,"Which packages should I add for this lesson, and what is each one used for?"
01-agentic-rag/lessons/02-environment.md,What’s the recommended way to keep my API key safe when working with OpenAI or another compatible service?
01-agentic-rag/lessons/02-environment.md,"How do I get the OpenAI client working in a notebook, and what changes if I use Groq instead?"
01-agentic-rag/lessons/03-rag.md,Why does asking a course question directly to a plain LLM usually give a vague or wrong answer?
01-agentic-rag/lessons/03-rag.md,How do you use FAQ text in the prompt so the model can answer a student’s question more accurately?
01-agentic-rag/lessons/03-rag.md,"What does RAG mean, and what are the two main parts it combines?"
01-agentic-rag/lessons/03-rag.md,What is the basic flow in a RAG system from a user question to the final answer?
01-agentic-rag/lessons/03-rag.md,"If the retrieved document is bad, what happens to the answer, and why does search quality matter so much?"
01-agentic-rag/lessons/04-dataset.md,"Where does the FAQ data come from in this RAG example, and how do you load it with Python?"
01-agentic-rag/lessons/04-dataset.md,"What fields does each FAQ entry have, and what does each one represent?"
01-agentic-rag/lessons/04-dataset.md,Why do they use the course slug when searching the FAQ entries?
01-agentic-rag/lessons/04-dataset.md,How does this FAQ dataset fit into the RAG workflow for answering student questions?
01-agentic-rag/lessons/04-dataset.md,"If the data is already in JSON, why does the lesson still say data prep is usually a big part of building RAG?"
01-agentic-rag/lessons/05-search.md,Why does a keyword search miss questions that mean the same thing but use different wording?
01-agentic-rag/lessons/05-search.md,What fields should be treated as normal text and which one should be used for exact course matching in the index?
01-agentic-rag/lessons/05-search.md,How do boosting and filtering change the results when you search the FAQ?
01-agentic-rag/lessons/05-search.md,Why is it useful to search the documents first instead of sending all of them to the model?
01-agentic-rag/lessons/05-search.md,How can I wrap the search step into a function that defaults to the LLM course but still lets me search other courses?
01-agentic-rag/lessons/06-building-prompt.md,Why do we need to include the search results in the prompt instead of only sending the user's question to the LLM?
01-agentic-rag/lessons/06-building-prompt.md,"What is the difference between the instruction part of a prompt and the user part, and why are they kept separate?"
01-agentic-rag/lessons/06-building-prompt.md,How should the instructions tell the model to behave when it can't find the answer in the provided context?
01-agentic-rag/lessons/06-building-prompt.md,How is the context string built from the search results before it gets sent to the model?
01-agentic-rag/lessons/06-building-prompt.md,What does the final prompt look like after combining the question with the retrieved context?
01-agentic-rag/lessons/07-llm.md,"How do you send a prompt to the model in this RAG setup, and which OpenAI API does the lesson recommend using now?"
01-agentic-rag/lessons/07-llm.md,"Where is the actual answer stored in the response object, and is there a shorter way to get just the text?"
01-agentic-rag/lessons/07-llm.md,"How can you figure out how many tokens a request used, and how do you turn that into an estimated cost?"
01-agentic-rag/lessons/07-llm.md,Why does the lesson use a list of messages with separate roles instead of just one prompt string?
01-agentic-rag/lessons/07-llm.md,"What does the full RAG function do from search to final answer, and why is the output supposed to come from the documents rather than the model’s general knowledge?"
01-agentic-rag/lessons/08-rag-helper.md,Why does the lesson split the RAG code into two separate files instead of repeating it in every notebook?
01-agentic-rag/lessons/08-rag-helper.md,"What does `ingest.py` do, and how are the FAQ documents loaded into the search index?"
01-agentic-rag/lessons/08-rag-helper.md,"Why is the RAG logic turned into a class, and what do the constructor arguments control?"
01-agentic-rag/lessons/08-rag-helper.md,"How does the search step choose which documents to return, and what filters or boosts does it use?"
01-agentic-rag/lessons/08-rag-helper.md,"How do `build_context`, `build_prompt`, and `rag()` work together to answer a user question?"
01-agentic-rag/lessons/09-data-ingestion.md,Why does the course split data ingestion from search instead of loading everything when the app starts?
01-agentic-rag/lessons/09-data-ingestion.md,"What is sqlitesearch used for in this RAG setup, and how is it different from minsearch?"
01-agentic-rag/lessons/09-data-ingestion.md,"How do you build the persistent FAQ index in the notebook, and what file does it create?"
01-agentic-rag/lessons/09-data-ingestion.md,Can one notebook keep adding documents while another notebook is already querying the same SQLite index?
01-agentic-rag/lessons/09-data-ingestion.md,"When should I keep using minsearch, and when should I switch to a database-backed search index?"
01-agentic-rag/lessons/10-rag-next-steps.md,"What are the main pieces of the RAG system built in part 1, and how do they work together?"
01-agentic-rag/lessons/10-rag-next-steps.md,Why would an agent be useful instead of just searching once with the user’s original question?
01-agentic-rag/lessons/10-rag-next-steps.md,How is vector search different from keyword search in this context?
01-agentic-rag/lessons/10-rag-next-steps.md,What can Elasticsearch do that makes it a common choice for real search systems?
01-agentic-rag/lessons/10-rag-next-steps.md,Why is RAG usually preferred over fine-tuning for this kind of app?
01-agentic-rag/lessons/11-agents-intro.md,Why can a basic RAG flow fail when the user's question is slightly off or worded strangely?
01-agentic-rag/lessons/11-agents-intro.md,What does it mean to let the LLM take control instead of sending the query straight to search?
01-agentic-rag/lessons/11-agents-intro.md,How can an agent help when the first search gives useless results or nothing at all?
01-agentic-rag/lessons/11-agents-intro.md,What are the main things this part of the module says it will teach about agents?
01-agentic-rag/lessons/11-agents-intro.md,"In this lesson, what is the difference between a fixed pipeline and an agentic system?"
01-agentic-rag/lessons/12-rag-revision.md,"What does the lesson use the FAQ for in the RAG setup, and how does that help students get answers faster?"
01-agentic-rag/lessons/12-rag-revision.md,"Which two helper files are reused here, and what is each one responsible for?"
01-agentic-rag/lessons/12-rag-revision.md,How do you create the OpenAI client and build the FAQ search index in this example?
01-agentic-rag/lessons/12-rag-revision.md,"Why does the system answer a query about Ollama correctly but fail on a misspelled version like ""Olama""?"
01-agentic-rag/lessons/12-rag-revision.md,What is the main weakness of this fixed RAG pipeline that leads into the need for an agent?
01-agentic-rag/lessons/13-function-calling.md,"Why does a normal RAG pipeline fail when the search query has a typo, and how does an agent avoid that problem?"
01-agentic-rag/lessons/13-function-calling.md,What is the difference between RAG and an agent in terms of who decides what action to take next?
01-agentic-rag/lessons/13-function-calling.md,Why do you need to define a function schema for the model instead of just giving it the Python code?
01-agentic-rag/lessons/13-function-calling.md,"What happens after the model returns a function call, and why do you have to send the whole conversation back to the API?"
01-agentic-rag/lessons/13-function-calling.md,"Why does using function calling usually cost more than a single RAG request, and how can you estimate the cost from token usage?"
01-agentic-rag/lessons/14-agentic-loop.md,Why do we need a loop for tool use instead of just one model call?
01-agentic-rag/lessons/14-agentic-loop.md,"What are the main parts of an agent in this lesson, and what does each part do?"
01-agentic-rag/lessons/14-agentic-loop.md,How does the code know when to keep calling the model and when to stop?
01-agentic-rag/lessons/14-agentic-loop.md,"What is the helper that runs a function call supposed to do, and why is it useful?"
01-agentic-rag/lessons/14-agentic-loop.md,How can the instructions be changed so the assistant does more searches or ignores off-topic questions?
01-agentic-rag/lessons/15-frameworks.md,How does ToyAIKit reduce the amount of code you have to write for an agent loop?
01-agentic-rag/lessons/15-frameworks.md,"Can ToyAIKit figure out a tool schema automatically from a Python function, and if so, how?"
01-agentic-rag/lessons/15-frameworks.md,"What do the chat interface, callback, and runner each do in a ToyAIKit setup?"
01-agentic-rag/lessons/15-frameworks.md,"What happens when you call the runner with one prompt, and what kind of result do you get back?"
01-agentic-rag/lessons/15-frameworks.md,How do you continue a ToyAIKit conversation across multiple calls instead of starting over each time?
01-agentic-rag/lessons/16-other-frameworks.md,"How are function calling, tools, and the agent loop basically the same pattern across frameworks?"
01-agentic-rag/lessons/16-other-frameworks.md,Which agent framework should I choose if I already use OpenAI and want the official option?
01-agentic-rag/lessons/16-other-frameworks.md,"What makes PydanticAI different from other agent frameworks, and why might someone like it?"
01-agentic-rag/lessons/16-other-frameworks.md,When is LangChain or LangGraph a better fit than the other frameworks mentioned here?
01-agentic-rag/lessons/16-other-frameworks.md,Why does the lesson say I should avoid using an agent if a simpler RAG or single-model call can solve the task?
02-vector-search/lessons/01-intro.md,Why does keyword search fail on questions that mean the same thing but use different words?
02-vector-search/lessons/01-intro.md,How does vector search find documents in two steps from indexing to query time?
02-vector-search/lessons/01-intro.md,"What role does an embedding model play in vector search, and why do similar texts end up close together?"
02-vector-search/lessons/01-intro.md,"How is cosine similarity used to compare vectors, and what do the different values mean?"
02-vector-search/lessons/01-intro.md,"When should I use vector search instead of keyword search, and why do people often combine both?"
02-vector-search/lessons/02-embeddings.md,"What does it mean to embed text, and why do we need embeddings for vector search?"
02-vector-search/lessons/02-embeddings.md,"How are word embeddings different from sentence embeddings, and how does context change them?"
02-vector-search/lessons/02-embeddings.md,"Which embedding model does the lesson use, and why is it a good fit for short English FAQ text?"
02-vector-search/lessons/02-embeddings.md,"How do you tell whether two texts are related using embeddings, and what does a low score mean?"
02-vector-search/lessons/02-embeddings.md,"Why does the model use cosine similarity, and how is that connected to the dot product of normalized vectors?"
02-vector-search/lessons/03-embeddings-dataset.md,How do you turn the FAQ entries into text before creating embeddings for them?
02-vector-search/lessons/03-embeddings-dataset.md,Why does the lesson combine each question with its answer when making embeddings?
02-vector-search/lessons/03-embeddings-dataset.md,What is the reason for encoding the FAQ data in batches instead of all at once?
